ThemeName1,ThemeName2,SetCount1,SetCount2,NormalizedDiff,Diff
2010-Star Wars,2011-Star Wars,26,50,88,24
2010-Star Wars,2012-Star Wars,26,54,94,28
2010-Star Wars,2013-Star Wars,26,55,95,29
2010-Star Wars,2014-Star Wars,26,57,98,31
2010-Star Wars,2015-Star Wars,26,45,80,19
2010-Star Wars,2016-Star Wars,26,58,100,32
2010-Star Wars,2017-Star Wars,26,34,63,8
2010-Supplemental,2014-Supplemental,10,3,39,-7
2011-Star Wars,2010-Star Wars,50,26,13,-24
2011-Star Wars,2012-Star Wars,50,54,56,4
2011-Star Wars,2013-Star Wars,50,55,58,5
2011-Star Wars,2014-Star Wars,50,57,61,7
2011-Star Wars,2015-Star Wars,50,45,42,-5
2011-Star Wars,2016-Star Wars,50,58,63,8
2011-Star Wars,2017-Star Wars,50,34,25,-16
2011-Technic,2012-Technic,1,3,53,2
2011-Technic,2013-Technic,1,9,63,8
2011-Technic,2014-Technic,1,8,61,7
2011-Technic,2015-Technic,1,2,52,1
2011-Technic,2016-Technic,1,11,66,10
2011-Technic,2017-Technic,1,11,66,10
2012-Star Wars,2010-Star Wars,54,26,6,-28
2012-Star Wars,2011-Star Wars,54,50,44,-4
2012-Star Wars,2013-Star Wars,54,55,52,1
2012-Star Wars,2014-Star Wars,54,57,55,3
2012-Star Wars,2015-Star Wars,54,45,36,-9
2012-Star Wars,2016-Star Wars,54,58,56,4
2012-Star Wars,2017-Star Wars,54,34,19,-20
2012-Technic,2011-Technic,3,1,47,-2
2012-Technic,2013-Technic,3,9,59,6
2012-Technic,2014-Technic,3,8,58,5
2012-Technic,2015-Technic,3,2,48,-1
2012-Technic,2016-Technic,3,11,63,8
2012-Technic,2017-Technic,3,11,63,8
2013-Star Wars,2010-Star Wars,55,26,5,-29
2013-Star Wars,2011-Star Wars,55,50,42,-5
2013-Star Wars,2012-Star Wars,55,54,48,-1
2013-Star Wars,2014-Star Wars,55,57,53,2
2013-Star Wars,2015-Star Wars,55,45,34,-10
2013-Star Wars,2016-Star Wars,55,58,55,3
2013-Star Wars,2017-Star Wars,55,34,17,-21
2013-Technic,2011-Technic,9,1,38,-8
2013-Technic,2012-Technic,9,3,41,-6
2013-Technic,2014-Technic,9,8,48,-1
2013-Technic,2015-Technic,9,2,39,-7
2013-Technic,2016-Technic,9,11,53,2
2013-Technic,2017-Technic,9,11,53,2
2014-Star Wars,2010-Star Wars,57,26,2,-31
2014-Star Wars,2011-Star Wars,57,50,39,-7
2014-Star Wars,2012-Star Wars,57,54,45,-3
2014-Star Wars,2013-Star Wars,57,55,47,-2
2014-Star Wars,2015-Star Wars,57,45,31,-12
2014-Star Wars,2016-Star Wars,57,58,52,1
2014-Star Wars,2017-Star Wars,57,34,14,-23
2014-Supplemental,2010-Supplemental,3,10,61,7
2014-Technic,2011-Technic,8,1,39,-7
2014-Technic,2012-Technic,8,3,42,-5
2014-Technic,2013-Technic,8,9,52,1
2014-Technic,2015-Technic,8,2,41,-6
2014-Technic,2016-Technic,8,11,55,3
2014-Technic,2017-Technic,8,11,55,3
2015-Star Wars,2010-Star Wars,45,26,20,-19
2015-Star Wars,2011-Star Wars,45,50,58,5
2015-Star Wars,2012-Star Wars,45,54,64,9
2015-Star Wars,2013-Star Wars,45,55,66,10
2015-Star Wars,2014-Star Wars,45,57,69,12
2015-Star Wars,2016-Star Wars,45,58,70,13
2015-Star Wars,2017-Star Wars,45,34,33,-11
2015-Technic,2011-Technic,2,1,48,-1
2015-Technic,2012-Technic,2,3,52,1
2015-Technic,2013-Technic,2,9,61,7
2015-Technic,2014-Technic,2,8,59,6
2015-Technic,2016-Technic,2,11,64,9
2015-Technic,2017-Technic,2,11,64,9
2016-Star Wars,2010-Star Wars,58,26,0,-32
2016-Star Wars,2011-Star Wars,58,50,38,-8
2016-Star Wars,2012-Star Wars,58,54,44,-4
2016-Star Wars,2013-Star Wars,58,55,45,-3
2016-Star Wars,2014-Star Wars,58,57,48,-1
2016-Star Wars,2015-Star Wars,58,45,30,-13
2016-Star Wars,2017-Star Wars,58,34,13,-24
2016-Technic,2011-Technic,11,1,34,-10
2016-Technic,2012-Technic,11,3,38,-8
2016-Technic,2013-Technic,11,9,47,-2
2016-Technic,2014-Technic,11,8,45,-3
2016-Technic,2015-Technic,11,2,36,-9
2016-Technic,2017-Technic,11,11,50,0
2017-Star Wars,2010-Star Wars,34,26,38,-8
2017-Star Wars,2011-Star Wars,34,50,75,16
2017-Star Wars,2012-Star Wars,34,54,81,20
2017-Star Wars,2013-Star Wars,34,55,83,21
2017-Star Wars,2014-Star Wars,34,57,86,23
2017-Star Wars,2015-Star Wars,34,45,67,11
2017-Star Wars,2016-Star Wars,34,58,88,24
2017-Technic,2011-Technic,11,1,34,-10
2017-Technic,2012-Technic,11,3,38,-8
2017-Technic,2013-Technic,11,9,47,-2
2017-Technic,2014-Technic,11,8,45,-3
2017-Technic,2015-Technic,11,2,36,-9
2017-Technic,2016-Technic,11,11,50,0
